biome,sample,Firmicutes,Bacteroidetes,Unassigned,Proteobacteria,Chordata,Actinobacteria,Cyanobacteria,Verrucomicrobia,Tenericutes,Fusobacteria,Euryarchaeota,Others
gut,ERR675601,0.821428571,0.142857143,0.035714286,0,0,0,0,0,0,0,0,0
gut,ERR525952,0.820432052,0.001205546,0.031985845,0.141427988,0,0.003218029,0,0,0,0,0,0.001730541
gut,ERR525706,0.819635365,0.074010222,0.054786788,0.025127775,0,0.018201236,0.005751774,0.000701808,0.00027462,0,0.000778091,0.000732321
gut,ERR1762119,0.815434054,0.000232861,0.104391766,0.000768443,0,0.057330477,0.000279434,4.66E-05,0.021190387,0,0,0.000326006
gut,ERR1762120,0.814922458,0.000139506,0.103373712,0.000999791,0,0.057964612,0.000186008,2.33E-05,0.021786138,0,0,0.000604525
gut,ERR1762122,0.814206221,0.000237801,0.105250642,0.001070104,0,0.057286217,0.000214021,0,0.021306953,0,0,0.000428041
gut,ERR1762121,0.812264151,0.000259434,0.10634434,0.000943396,0,0.057712264,0.000165094,4.72E-05,0.022028302,0,0,0.000235849
gut,ERR2560566,0.810792113,0.000622622,0.136077482,0.046489104,0.000415081,6.92E-05,0,0.002213767,0.00013836,0.002075406,0,0.001106883
gut,ERR1744186,0.810281913,0.035941486,0.113185003,0.005005328,0,0.025123519,0.000904188,0.000839603,0.008008525,3.23E-05,0,0.000678141
gut,ERR2560564,0.808824604,0.000657462,0.137117394,0.045730148,0.000365257,0.000219154,0,0.003506465,0,0.002410695,0,0.001168822
gut,ERR2560565,0.806244568,0.000936017,0.144480845,0.042655613,6.69E-05,0.000334292,0,0.00200575,0,0.002540616,0,0.000735442
gut,ERR675533,0.798611111,0.125,0.076388889,0,0,0,0,0,0,0,0,0
gut,SRR5983380,0.796150587,0.04878344,0.067485777,0.045515071,0,0.025541702,6.05E-05,0.002784167,0.008231449,0.000544728,0,0.004902554
gut,ERR525920,0.795203614,0.089656547,0.050953298,0.023716203,0,0.039540291,9.30E-05,0,0.000504883,6.64E-05,0,0.000265728
gut,ERR1398116,0.794324058,0.038470077,0.065150793,0.038162245,0,0.061542651,0.001713794,0,0,0.000139116,5.92E-06,0.000491347
gut,ERR525809,0.792254275,0.10921105,0.070757747,0.009758634,0,0.011808254,0.001468384,3.06E-05,0.002508489,0,0.000734192,0.001468384
gut,ERR2198650,0.791564744,0.008139282,0.132709467,0.011351469,8.71E-06,0.048983678,2.61E-05,0.001523395,0.000774755,0.004552775,0,0.000365615
gut,ERR526032,0.789020914,0.11264159,0.051767199,0.020686697,0,0.0242438,0.000378415,0.000857741,2.52E-05,5.05E-05,0,0.00032796
gut,ERR2560645,0.784999253,0.104019124,0.051157926,0.000507993,8.96E-05,0.019483042,0,0.036575527,0.002091738,0,0,0.001075751
gut,ERR2560647,0.784697244,0.105377367,0.050652478,0.001099848,0.000267531,0.018221813,0,0.037305669,0.001397105,0,0,0.000980946
gut,ERR2560646,0.784400924,0.104278913,0.049003677,0.000912227,0.00019955,0.02140882,0,0.036888167,0.002081017,0,0,0.000826705
gut,ERR525689,0.780167769,0.159697424,0.045977983,0.011621273,0,0.002218607,2.11E-05,6.34E-05,0.000211296,0,0,2.11E-05
gut,ERR525946,0.779703124,0.000113865,0.049800219,0.103264808,0,0.066113906,7.25E-05,3.11E-05,0.000641782,1.04E-05,0,0.000248432
gut,ERR2560571,0.775470253,0.000510682,0.16146055,0.055579198,0,0.000680909,0,0.005617499,0,0,0,0.000680909
gut,ERR2198663,0.774955617,0.013103212,0.082069077,0.004851921,0,0.066827389,0.000383312,0.000464009,0.000100872,0.001432376,0,0.055812218
gut,ERR260269,0.773584906,0.031446541,0.147798742,0.006289308,0,0.012578616,0,0,0.028301887,0,0,0
gut,ERR2560595,0.77358204,0.072758757,0.052191877,0.00054683,0.000121518,0.017255521,0,0.083057387,0.000243036,0,0,0.000243036
gut,ERR525915,0.7696159,0.118571569,0.05065468,0.020483908,0,0.04023858,4.35E-05,2.18E-05,0.000195914,0,0,0.000174146
gut,ERR2560594,0.769507453,0.071224887,0.053402463,0.000907323,0.000129618,0.019151005,0,0.085029164,0.000518471,0,0,0.000129618
gut,ERR1762136,0.768917197,4.25E-05,0.102760085,0.000849257,0,0.125859873,0,4.25E-05,0.000127389,0,0,0.001401274
gut,ERR2560596,0.768709873,0.071581435,0.05347047,0.001213786,9.58E-05,0.020826013,0,0.083655413,0.00019165,0,0,0.000255534
gut,ERR1762135,0.766793941,0.000209793,0.103511937,0.000587421,0,0.127764025,0,0,8.39E-05,0,0,0.001048966
gut,ERR2560570,0.766593124,0.000459643,0.165287737,0.059661703,0,0.001011215,0,0.006526935,0,0,0,0.000459643
gut,ERR2198623,0.76651028,0.020163498,0.080427436,0.007726509,2.83E-05,0.065370891,0.000320955,0.00060415,7.08E-05,0.001104461,0,0.057672702
gut,ERR2198654,0.765788992,0.134569581,0.067317507,0.006019839,0,0.021645248,0.000157039,0.002211637,7.85E-05,0.00142644,0,0.000785196
gut,ERR2560572,0.765719814,0.000351772,0.168147041,0.058570047,0,0.000263829,0,0.00641984,0,0.000175886,0,0.000351772
gut,ERR2198665,0.765646263,0.125711794,0.054287941,0.009182312,0,0.03007042,0.000515266,0.001017321,0.000105696,0.000687022,0,0.012775965
